classification,ingredient_name,specification,product_name,manufacturer,price
内用薬,タンドスピロンクエン酸塩,５ｍｇ１錠,セディール錠５ｍｇ,住友ファーマ,8.60 
内用薬,タンドスピロンクエン酸塩,１０ｍｇ１錠,タンドスピロンクエン酸塩１０ｍｇ錠,,9.30 
内用薬,タンドスピロンクエン酸塩,１０ｍｇ１錠,セディール錠１０ｍｇ,住友ファーマ,15.50 
内用薬,タンドスピロンクエン酸塩,２０ｍｇ１錠,タンドスピロンクエン酸塩２０ｍｇ錠,,18.00 
内用薬,タンドスピロンクエン酸塩,２０ｍｇ１錠,セディール錠２０ｍｇ,住友ファーマ,25.80 
内用薬,ゾルピデム酒石酸塩,５ｍｇ１錠,ゾルピデム酒石酸塩５ｍｇ錠,,10.40 
内用薬,ゾルピデム酒石酸塩,５ｍｇ１錠,マイスリー錠５ｍｇ,アステラス製薬,17.50 
内用薬,ゾルピデム酒石酸塩,５ｍｇ１錠,ゾルピデム酒石酸塩錠５ｍｇ「日医工」,日医工,10.60 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩１０ｍｇ錠,,10.40 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,マイスリー錠１０ｍｇ,アステラス製薬,26.90 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,アルフレッサファーマ,15.00 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,第一三共エスファ,11.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＪＧ」,日本ジェネリック,14.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,辰巳化学,12.30 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,陽進堂,11.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,全星薬品工業,12.30 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,大原薬品工業,11.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,日本ケミファ,15.00 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,沢井製薬,11.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,高田製薬,12.30 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,東和薬品,14.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,日医工,15.00 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「日新」,日新製薬（山形）,11.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,13.60 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,共創未来ファーマ,12.30 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,東洋カプセル,15.00 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」,日医工岐阜工場,13.60 
内用薬,ゾルピデム酒石酸塩,５ｍｇ１錠,ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,,10.40 
内用薬,ゾルピデム酒石酸塩,５ｍｇ１錠,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「日医工」,日医工,10.60 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,沢井製薬,11.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,救急薬品工業,22.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,東和薬品,14.20 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ１錠,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「日医工」,日医工,15.00 
内用薬,ゾルピデム酒石酸塩,５ｍｇ１ｍＬ１包,ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,高田製薬,29.30 
内用薬,ゾルピデム酒石酸塩,１０ｍｇ２ｍＬ１包,ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,高田製薬,40.40 
内用薬,エスゾピクロン,１ｍｇ１錠,エスゾピクロン１ｍｇ錠,,7.70 
内用薬,エスゾピクロン,１ｍｇ１錠,ルネスタ錠１ｍｇ,エーザイ,28.50 
内用薬,エスゾピクロン,１ｍｇ１錠,エスゾピクロン錠１ｍｇ「ＫＭＰ」,共創未来ファーマ,9.50 
内用薬,エスゾピクロン,１ｍｇ１錠,エスゾピクロン錠１ｍｇ「ＮＰＩ」,日本薬品工業,9.20 
内用薬,エスゾピクロン,１ｍｇ１錠,エスゾピクロン錠１ｍｇ「ＹＤ」,陽進堂,9.50 
内用薬,エスゾピクロン,１ｍｇ１錠,エスゾピクロン錠１ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,9.20 
内用薬,エスゾピクロン,２ｍｇ１錠,エスゾピクロン２ｍｇ錠,,12.50 
内用薬,エスゾピクロン,２ｍｇ１錠,ルネスタ錠２ｍｇ,エーザイ,46.60 
内用薬,エスゾピクロン,２ｍｇ１錠,エスゾピクロン錠２ｍｇ「ＫＭＰ」,共創未来ファーマ,15.90 
内用薬,エスゾピクロン,２ｍｇ１錠,エスゾピクロン錠２ｍｇ「ＮＰＩ」,日本薬品工業,15.00 
内用薬,エスゾピクロン,２ｍｇ１錠,エスゾピクロン錠２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,15.00 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン３ｍｇ錠,,14.60 
内用薬,エスゾピクロン,３ｍｇ１錠,ルネスタ錠３ｍｇ,エーザイ,54.70 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン錠３ｍｇ「ＫＭＰ」,共創未来ファーマ,20.20 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン錠３ｍｇ「ＮＰＩ」,日本薬品工業,18.50 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン錠３ｍｇ「ＹＤ」,陽進堂,21.40 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン錠３ｍｇ「アメル」,共和薬品工業,18.50 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン錠３ｍｇ「杏林」,キョーリンリメディオ,18.50 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン錠３ｍｇ「トーワ」,東和薬品,18.50 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン錠３ｍｇ「日新」,日新製薬（山形）,18.50 
内用薬,エスゾピクロン,３ｍｇ１錠,エスゾピクロン錠３ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,18.50 
内用薬,アセチルフェネトライド,１ｇ,クランポール末,住友ファーマ,126.60 
内用薬,アセチルフェネトライド,２００ｍｇ１錠,クランポール錠２００ｍｇ,住友ファーマ,42.90 
内用薬,エトトイン,１ｇ,アクセノン末,住友ファーマ,201.20 
内用薬,フェニトイン,１０％１ｇ,フェニトイン散,,12.10 
内用薬,フェニトイン,２５ｍｇ１錠,フェニトイン錠,,11.90 
内用薬,フェニトイン,２５ｍｇ１錠,アレビアチン錠２５ｍｇ,住友ファーマ,12.10 
内用薬,フェニトイン,１００ｍｇ１錠,フェニトイン錠,,12.80 
内用薬,フェニトイン,１００ｍｇ１錠,アレビアチン錠１００ｍｇ,住友ファーマ,12.90 
内用薬,トリメタジオン,６６．７％１ｇ,ミノアレ散６６．７％,日医工,36.20 
内用薬,プリミドン,９９．５％１ｇ,プリミドン細粒９９．５％「日医工」,日医工,55.70 
内用薬,プリミドン,２５０ｍｇ１錠,プリミドン錠２５０ｍｇ「日医工」,日医工,17.30 
内用薬,スルチアム,５０ｍｇ１錠,オスポロット錠５０ｍｇ,共和薬品工業,25.00 
内用薬,スルチアム,２００ｍｇ１錠,オスポロット錠２００ｍｇ,共和薬品工業,64.00 
内用薬,エトスクシミド,５０％１ｇ,エピレオプチマル散５０％,エーザイ,25.10 
内用薬,エトスクシミド,５％１ｍＬ,ザロンチンシロップ５％,ファイザー,6.90 
内用薬,カルバマゼピン,５０％１ｇ,カルバマゼピン細粒５０％「アメル」,共和薬品工業,22.20 
内用薬,カルバマゼピン,５０％１ｇ,テグレトール細粒５０％,サンファーマ,22.20 
内用薬,カルバマゼピン,５０％１ｇ,カルバマゼピン細粒５０％「フジナガ」,藤永製薬,22.20 
内用薬,カルバマゼピン,２００ｍｇ１錠,テグレトール錠２００ｍｇ,サンファーマ,7.70 
内用薬,カルバマゼピン,２００ｍｇ１錠,カルバマゼピン錠２００ｍｇ「アメル」,共和薬品工業,10.00 
内用薬,カルバマゼピン,２００ｍｇ１錠,カルバマゼピン錠２００ｍｇ「フジナガ」,藤永製薬,7.70 
内用薬,カルバマゼピン,１００ｍｇ１錠,カルバマゼピン１００ｍｇ錠,,5.90 
内用薬,カルバマゼピン,１００ｍｇ１錠,テグレトール錠１００ｍｇ,サンファーマ,6.10 
内用薬,クロナゼパム,０．１％１ｇ,リボトリール細粒０．１％,太陽ファルマ,8.30 
内用薬,クロナゼパム,０．１％１ｇ,ランドセン細粒０．１％,住友ファーマ,8.10 
内用薬,クロナゼパム,０．５％１ｇ,リボトリール細粒０．５％,太陽ファルマ,35.90 
内用薬,クロナゼパム,０．５％１ｇ,ランドセン細粒０．５％,住友ファーマ,31.70 
内用薬,クロナゼパム,０．５ｍｇ１錠,リボトリール錠０．５ｍｇ,太陽ファルマ,9.60 
内用薬,クロナゼパム,０．５ｍｇ１錠,ランドセン錠０．５ｍｇ,住友ファーマ,9.60 
内用薬,クロナゼパム,１ｍｇ１錠,リボトリール錠１ｍｇ,太陽ファルマ,10.40 
内用薬,クロナゼパム,１ｍｇ１錠,ランドセン錠１ｍｇ,住友ファーマ,10.40 
内用薬,クロナゼパム,２ｍｇ１錠,リボトリール錠２ｍｇ,太陽ファルマ,13.20 
内用薬,クロナゼパム,２ｍｇ１錠,ランドセン錠２ｍｇ,住友ファーマ,13.70 
内用薬,バルプロ酸ナトリウム,２０％１ｇ,バルプロ酸ナトリウム細粒２０％「ＥＭＥＣ」,日医工,18.10 
内用薬,バルプロ酸ナトリウム,４０％１ｇ,デパケン細粒４０％,日医工岐阜工場,19.70 
内用薬,バルプロ酸ナトリウム,４０％１ｇ,バルプロ酸ナトリウム細粒４０％「ＥＭＥＣ」,日医工,25.90 
内用薬,バルプロ酸ナトリウム,４０％１ｇ,セレニカＲ顆粒４０％,興和,36.70 
内用薬,バルプロ酸ナトリウム,４０％１ｇ,バルプロ酸Ｎａ徐放顆粒４０％「フジナガ」,藤永製薬,26.30 
内用薬,バルプロ酸ナトリウム,１００ｍｇ１錠,バルプロ酸ナトリウム１００ｍｇ錠,,10.40 
内用薬,バルプロ酸ナトリウム,１００ｍｇ１錠,デパケン錠１００ｍｇ,日医工岐阜工場,10.40 
内用薬,バルプロ酸ナトリウム,２００ｍｇ１錠,バルプロ酸ナトリウム錠２００ｍｇ「アメル」,共和薬品工業,14.30 
内用薬,バルプロ酸ナトリウム,２００ｍｇ１錠,デパケン錠２００ｍｇ,日医工岐阜工場,10.40 
内用薬,バルプロ酸ナトリウム,２００ｍｇ１錠,バルプロ酸Ｎａ錠２００ｍｇ「フジナガ」,藤永製薬,11.50 
内用薬,バルプロ酸ナトリウム,２００ｍｇ１錠,バルプロ酸ナトリウム錠２００ｍｇ「ＤＳＰ」,住友ファーマ,14.30 
内用薬,バルプロ酸ナトリウム,１００ｍｇ１錠,バルプロ酸ナトリウム１００ｍｇ徐放錠,,10.40 
内用薬,バルプロ酸ナトリウム,１００ｍｇ１錠,デパケンＲ錠１００ｍｇ,日医工岐阜工場,10.40 
内用薬,バルプロ酸ナトリウム,２００ｍｇ１錠,バルプロ酸ナトリウム２００ｍｇ徐放錠,,10.40 
内用薬,バルプロ酸ナトリウム,２００ｍｇ１錠,セレニカＲ錠２００ｍｇ,興和,10.90 
内用薬,バルプロ酸ナトリウム,２００ｍｇ１錠,バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」,共和薬品工業,12.30 
内用薬,バルプロ酸ナトリウム,２００ｍｇ１錠,デパケンＲ錠２００ｍｇ,日医工岐阜工場,11.30 
内用薬,バルプロ酸ナトリウム,４００ｍｇ１錠,セレニカＲ錠４００ｍｇ,興和,17.40 
内用薬,バルプロ酸ナトリウム,５％１ｍＬ,バルプロ酸ナトリウム５％シロップ,,7.00 
内用薬,バルプロ酸ナトリウム,５％１ｍＬ,デパケンシロップ５％,日医工岐阜工場,7.90 
内用薬,バルプロ酸ナトリウム,５％１ｍＬ,バルプロ酸ナトリウムシロップ５％「日医工」,日医工,9.30 
内用薬,ゾニサミド,２０％１ｇ,ゾニサミド２０％散,,25.60 
内用薬,ゾニサミド,２０％１ｇ,エクセグラン散２０％,住友ファーマ,29.90 
内用薬,ゾニサミド,１００ｍｇ１錠,ゾニサミド１００ｍｇ錠,,11.70 
内用薬,ゾニサミド,１００ｍｇ１錠,エクセグラン錠１００ｍｇ,住友ファーマ,15.00 
内用薬,クロバザム,１％１ｇ,マイスタン細粒１％,住友ファーマ,23.30 
内用薬,クロバザム,５ｍｇ１錠,マイスタン錠５ｍｇ,住友ファーマ,14.00 
内用薬,クロバザム,１０ｍｇ１錠,マイスタン錠１０ｍｇ,住友ファーマ,24.80 
内用薬,ガバペンチン,２００ｍｇ１錠,ガバペン錠２００ｍｇ,富士製薬工業,24.60 
内用薬,ガバペンチン,３００ｍｇ１錠,ガバペン錠３００ｍｇ,富士製薬工業,31.90 
内用薬,ガバペンチン,４００ｍｇ１錠,ガバペン錠４００ｍｇ,富士製薬工業,40.90 
内用薬,ガバペンチン,５％１ｍＬ,ガバペンシロップ５％,富士製薬工業,17.00 
内用薬,トピラマート,１０％１ｇ,トピナ細粒１０％,協和キリン,110.20 
内用薬,トピラマート,５０ｍｇ１錠,トピナ錠５０ｍｇ,協和キリン,45.10 
内用薬,トピラマート,５０ｍｇ１錠,トピラマート錠５０ｍｇ「アメル」,共和薬品工業,21.00 
